Datetime,Close,High,Low,Open,Volume,SMA_100,SMA_20,MACD,Signal_Line,Composite_Score,YZ_Vol,Risk_Leverage,Entry_Price,Exit_Price,Signal_Core,Micro_PnL_TWD,Buy_PnL_TWD,Seller_PnL_TWD,Spread_PnL_TWD
2024-05-06 01:00:00+00:00,20613.080078125,20615.580078125,20479.80078125,20479.80078125,0,,,0.0,0.0,-1.0,0.15,2.0,20609.83984375,21255.859375,0,-200.0,-2000.0,3600.0,-800.0
2024-05-06 02:00:00+00:00,20566.55078125,20639.900390625,20555.630859375,20609.83984375,0,,,-1.0439265324530425,-0.5799591846961347,-1.0,0.15,2.0,20566.880859375,21305.94921875,-1,-29762.734375,-75906.8359375,-25962.734375,-37753.41796875
2024-05-06 03:00:00+00:00,20551.48046875,20584.8203125,20547.2890625,20566.880859375,0,,,-1.7974990968868951,-1.0789509519874299,-1.0,0.15,2.0,20549.279296875,21185.779296875,0,-200.0,-2000.0,3600.0,-800.0
2024-05-06 04:00:00+00:00,20532.66015625,20559.130859375,20526.630859375,20549.279296875,0,,,-2.775686747223517,-1.6537259503736381,-1.0,0.15,2.0,20532.330078125,21184.44921875,0,-200.0,-2000.0,3600.0,-800.0
2024-05-06 05:00:00+00:00,20551.140625,20570.419921875,20532.009765625,20532.330078125,0,,,-2.5134037091956998,-1.909460647786198,-1.0,0.15,2.0,20634.619140625,21254.58984375,0,-200.0,-2000.0,3600.0,-800.0
2024-05-07 01:00:00+00:00,20577.859375,20689.189453125,20539.509765625,20634.619140625,0,,,-1.1659830053176847,-1.707936870119956,-1.0,0.15,2.0,20586.529296875,21145.0390625,0,-200.0,-2000.0,3600.0,-800.0
2024-05-07 02:00:00+00:00,20553.119140625,20597.869140625,20493.80078125,20586.529296875,0,,,-1.4025596377941838,-1.6306540393415399,-1.0,0.15,2.0,20554.490234375,21205.009765625,0,-200.0,-2000.0,3600.0,-800.0
2024-05-07 03:00:00+00:00,20584.859375,20588.0390625,20537.51953125,20554.490234375,0,,,-0.029080766656989,-1.245765864323374,-1.0,0.15,2.0,20575.94921875,21227.759765625,0,-200.0,-2000.0,3600.0,-800.0
2024-05-07 04:00:00+00:00,20613.44921875,20618.2109375,20574.3203125,20575.94921875,0,,,2.3409162178904808,-0.41722450971040875,-1.0,0.15,2.0,20613.0390625,21234.130859375,0,-200.0,-2000.0,3600.0,-800.0
2024-05-07 05:00:00+00:00,20628.4609375,20640.890625,20611.80078125,20613.0390625,0,,,4.761314604056679,0.7430688655564209,-1.0,0.15,2.0,20604.1796875,21207.939453125,0,-200.0,-2000.0,3600.0,-800.0
2024-05-08 01:00:00+00:00,20606.609375,20640.359375,20547.48046875,20604.1796875,0,,,5.279404880202492,1.7355932652269765,-1.0,0.15,2.0,20608.349609375,21383.259765625,0,-200.0,-2000.0,3600.0,-800.0
2024-05-08 02:00:00+00:00,20641.7109375,20660.259765625,20584.759765625,20608.349609375,0,,,7.515580002240313,2.976892013053322,-1.0,0.15,2.0,20630.599609375,21489.029296875,0,-200.0,-2000.0,3600.0,-800.0
2024-05-08 03:00:00+00:00,20676.08984375,20678.75,20630.599609375,20630.599609375,0,,,11.016292283224175,4.678308423432534,-1.0,0.15,2.0,20676.23046875,21500.310546875,0,-200.0,-2000.0,3600.0,-800.0
2024-05-08 04:00:00+00:00,20671.0,20683.0,20652.4609375,20676.23046875,0,,,13.198555566028517,6.460750482754175,-1.0,0.15,2.0,20664.900390625,21540.740234375,0,-200.0,-2000.0,3600.0,-800.0
2024-05-08 05:00:00+00:00,20651.099609375,20676.76953125,20651.0703125,20664.900390625,0,,,13.494987542660965,7.918902041749122,-1.0,0.15,2.0,20710.05078125,21547.619140625,0,-200.0,-2000.0,3600.0,-800.0
2024-05-09 01:00:00+00:00,20727.73046875,20754.609375,20661.259765625,20710.05078125,0,,,18.19793730109086,10.03425086982935,-1.0,0.15,2.0,20727.08984375,21585.380859375,0,-200.0,-2000.0,3600.0,-800.0
2024-05-09 02:00:00+00:00,20635.41015625,20728.4609375,20624.919921875,20727.08984375,0,,,15.845556028565625,11.223286606069921,-1.0,0.15,2.0,20634.6796875,21592.900390625,0,-200.0,-2000.0,3600.0,-800.0
